batch_id,product_id,batch_number,supplier_id,date_received,expiry_date,quantity_received,quantity_remaining
B001,P001,SP260001,S001,2025-12-18,2026-10-04,54,48
B002,P001,SP260002,S001,2025-08-31,2028-02-15,51,44
B003,P001,SP260003,S001,2025-12-26,2028-04-03,99,88
B004,P002,SP260004,S003,2026-02-03,2026-09-23,86,74
B005,P002,SP260005,S003,2025-12-08,2026-06-30,24,21
B006,P003,SP260006,S006,2026-03-06,2028-03-02,26,25
B007,P003,SP260007,S006,2025-08-30,2028-03-17,52,45
B008,P004,SP260008,S001,2025-10-19,2028-04-03,42,38
B009,P004,SP260009,S001,2025-11-02,2028-04-06,115,82
B010,P005,SP260010,S004,2026-02-01,2026-10-02,19,13
B011,P005,SP260011,S004,2025-08-22,2026-05-25,60,47
B012,P006,SP260012,S007,2025-11-11,2026-12-14,127,83
B013,P006,SP260013,S007,2026-01-10,2028-03-11,178,141
B014,P006,SP260014,S007,2026-03-03,2028-04-02,83,76
B015,P007,SP260015,S002,2025-11-09,2026-10-19,38,34
B016,P007,SP260016,S002,2025-10-22,2027-03-14,109,71
B017,P007,SP260017,S002,2025-10-06,2028-02-11,153,115
B018,P008,SP260018,S002,2026-01-08,2027-12-05,156,109
B019,P008,SP260019,S002,2025-12-03,2027-08-21,43,31
B020,P009,SP260020,S009,2025-09-07,2027-02-16,52,41
B021,P009,SP260021,S009,2026-03-09,2028-03-26,53,44
B022,P010,SP260022,S009,2026-01-01,2027-11-18,54,41
B023,P010,SP260023,S009,2025-10-25,2026-10-29,27,24
B024,P011,SP260024,S001,2026-02-15,2027-08-01,137,117
B025,P011,SP260025,S001,2025-11-24,2027-10-21,26,24
B026,P011,SP260026,S001,2025-10-09,2026-11-03,178,119
B027,P012,SP260027,S004,2026-01-01,2027-08-09,137,90
B028,P012,SP260028,S004,2025-11-22,2028-03-31,91,60
B029,P013,SP260029,S004,2025-08-26,2026-11-19,33,27
B030,P013,SP260030,S004,2025-11-28,2026-10-21,111,99
B031,P013,SP260031,S004,2025-09-23,2027-06-29,79,54
B032,P014,SP260032,S006,2025-10-06,2027-11-15,109,83
B033,P014,SP260033,S006,2025-09-27,2027-09-15,43,27
B034,P015,SP260034,S001,2025-12-31,2026-09-08,133,95
B035,P015,SP260035,S001,2025-12-29,2027-02-04,41,35
B036,P016,SP260036,S001,2026-02-02,2027-06-06,29,25
B037,P016,SP260037,S001,2025-09-21,2027-04-26,147,111
B038,P016,SP260038,S001,2025-12-19,2028-01-06,119,104
B039,P017,SP260039,S004,2025-12-05,2027-10-01,42,31
B040,P017,SP260040,S004,2026-02-22,2027-10-30,98,89
B041,P018,SP260041,S006,2025-12-28,2027-09-09,83,63
B042,P018,SP260042,S006,2026-02-19,2026-05-18,29,27
B043,P019,SP260043,S003,2026-01-29,2027-04-11,49,45
B044,P020,SP260044,S003,2025-11-25,2027-02-18,52,40
B045,P021,SP260045,S001,2026-03-28,2027-01-12,55,46
B046,P021,SP260046,S001,2025-12-25,2026-06-17,78,64
B047,P022,SP260047,S005,2025-10-04,2028-01-25,74,50
B048,P023,SP260048,S004,2025-10-07,2026-10-10,70,51
B049,P023,SP260049,S004,2025-09-11,2026-06-27,32,24
B050,P024,SP260050,S006,2025-12-17,2027-09-23,31,28
B051,P025,SP260051,S005,2025-11-26,2027-09-30,39,35
B052,P026,SP260052,S007,2026-03-12,2027-03-17,61,58
B053,P026,SP260053,S007,2026-03-01,2027-07-30,104,102
B054,P027,SP260054,S007,2026-03-29,2028-03-18,28,23
B055,P027,SP260055,S007,2026-03-04,2026-06-23,75,72
B056,P028,SP260056,S007,2026-02-04,2027-09-05,142,121
B057,P028,SP260057,S007,2025-10-18,2027-05-01,26,19
B058,P029,SP260058,S002,2025-11-28,2026-12-19,64,56
B059,P029,SP260059,S002,2025-08-24,2027-12-28,33,24
B060,P030,SP260060,S007,2025-11-26,2027-07-01,46,40
B061,P030,SP260061,S007,2026-02-21,2026-11-28,36,30
B062,P031,SP260062,S003,2026-01-21,2026-07-08,86,55
B063,P032,SP260063,S003,2025-11-17,2026-09-08,39,30
B064,P032,SP260064,S003,2025-11-14,2027-08-21,64,55
B065,P033,SP260065,S004,2025-10-04,2028-02-23,44,40
B066,P034,SP260066,S006,2025-09-16,2028-02-07,47,35
B067,P035,SP260067,S003,2025-10-16,2026-11-17,41,28
B068,P036,SP260068,S001,2025-11-17,2027-08-26,93,76
B069,P036,SP260069,S001,2025-12-28,2027-04-01,126,84
B070,P037,SP260070,S007,2025-11-21,2027-07-19,190,148
B071,P037,SP260071,S007,2025-10-24,2027-03-03,92,61
B072,P037,SP260072,S007,2026-01-27,2026-06-28,79,51
B073,P038,SP260073,S002,2026-01-30,2027-03-08,83,61
B074,P038,SP260074,S002,2025-11-23,2027-08-15,21,14
B075,P039,SP260075,S002,2026-03-22,2027-05-29,13,11
B076,P039,SP260076,S002,2026-02-08,2027-08-03,73,54
B077,P040,SP260077,S007,2025-09-04,2027-08-08,60,45
B078,P041,SP260078,S003,2026-02-01,2026-11-28,20,15
B079,P041,SP260079,S003,2025-11-29,2026-06-02,70,55
B080,P042,SP260080,S002,2025-11-26,2026-08-17,54,36
B081,P042,SP260081,S002,2025-10-13,2027-08-03,84,54
B082,P043,SP260082,S001,2025-08-28,2026-12-16,28,20
B083,P043,SP260083,S001,2025-09-10,2027-03-08,101,65
B084,P044,SP260084,S007,2026-02-12,2027-11-03,51,38
B085,P045,SP260085,S003,2026-03-07,2027-09-25,34,30
B086,P046,SP260086,S001,2025-09-25,2027-01-25,24,20
B087,P046,SP260087,S001,2026-02-25,2026-09-13,85,70
B088,P047,SP260088,S001,2025-09-04,2027-01-12,68,45
B089,P048,SP260089,S001,2025-08-30,2027-12-14,49,35
B090,P049,SP260090,S001,2026-02-18,2026-05-24,26,25
B091,P050,SP260091,S001,2025-09-06,2026-11-29,30,20
