transaction_id,date,product_id,quantity_sold,unit_price,total_amount,staff_id,customer_type
T00001,2026-03-20,P036,1,3.4,3.4,STF002,Insurance
T00002,2026-03-20,P020,1,8.2,8.2,STF005,Prescription
T00003,2026-03-20,P005,1,2.8,2.8,STF003,Insurance
T00004,2026-03-20,P011,1,3.2,3.2,STF001,Walk-in
T00005,2026-03-20,P011,3,3.2,9.6,STF004,Prescription
T00006,2026-03-20,P027,2,3.2,6.4,STF005,Prescription
T00007,2026-03-20,P005,1,2.8,2.8,STF005,Walk-in
T00008,2026-03-20,P004,1,3.8,3.8,STF005,Prescription
T00009,2026-03-20,P041,1,6.5,6.5,STF004,Walk-in
T00010,2026-03-20,P008,2,7.2,14.4,STF002,Prescription
T00011,2026-03-20,P016,1,3.6,3.6,STF001,Prescription
T00012,2026-03-20,P041,1,6.5,6.5,STF003,Walk-in
T00013,2026-03-20,P048,1,12.0,12.0,STF004,Prescription
T00014,2026-03-20,P043,1,2.1,2.1,STF001,Prescription
T00015,2026-03-20,P012,2,2.9,5.8,STF002,Prescription
T00016,2026-03-20,P020,1,8.2,8.2,STF005,Insurance
T00017,2026-03-20,P015,1,3.0,3.0,STF001,Prescription
T00018,2026-03-20,P015,1,3.0,3.0,STF005,Insurance
T00019,2026-03-21,P050,1,24.0,24.0,STF005,Prescription
T00020,2026-03-21,P012,2,2.9,5.8,STF002,Prescription
T00021,2026-03-21,P014,2,4.2,8.4,STF003,Walk-in
T00022,2026-03-21,P011,3,3.2,9.6,STF002,Walk-in
T00023,2026-03-21,P045,1,7.8,7.8,STF002,Prescription
T00024,2026-03-21,P017,1,2.6,2.6,STF003,Prescription
T00025,2026-03-21,P033,1,2.9,2.9,STF002,Walk-in
T00026,2026-03-21,P013,1,2.1,2.1,STF003,Prescription
T00027,2026-03-21,P008,2,7.2,14.4,STF002,Insurance
T00028,2026-03-21,P044,1,2.9,2.9,STF003,Insurance
T00029,2026-03-21,P038,1,2.0,2.0,STF004,Insurance
T00030,2026-03-21,P034,1,3.9,3.9,STF001,Walk-in
T00031,2026-03-21,P041,1,6.5,6.5,STF004,Walk-in
T00032,2026-03-21,P013,1,2.1,2.1,STF002,Insurance
T00033,2026-03-21,P012,1,2.9,2.9,STF005,Prescription
T00034,2026-03-21,P048,1,12.0,12.0,STF003,Prescription
T00035,2026-03-21,P016,1,3.6,3.6,STF001,Insurance
T00036,2026-03-21,P014,1,4.2,4.2,STF001,Prescription
T00037,2026-03-21,P002,1,5.0,5.0,STF003,Prescription
T00038,2026-03-22,P047,1,9.2,9.2,STF002,Insurance
T00039,2026-03-22,P037,2,0.45,0.9,STF001,Walk-in
T00040,2026-03-22,P023,1,2.0,2.0,STF002,Walk-in
T00041,2026-03-22,P044,1,2.9,2.9,STF002,Walk-in
T00042,2026-03-22,P042,1,2.4,2.4,STF003,Prescription
T00043,2026-03-22,P039,1,2.3,2.3,STF005,Walk-in
T00044,2026-03-22,P012,1,2.9,2.9,STF001,Insurance
T00045,2026-03-22,P032,1,2.1,2.1,STF002,Walk-in
T00046,2026-03-22,P039,1,2.3,2.3,STF001,Walk-in
T00047,2026-03-22,P050,1,24.0,24.0,STF001,Insurance
T00048,2026-03-22,P044,1,2.9,2.9,STF002,Prescription
T00049,2026-03-23,P036,1,3.4,3.4,STF001,Walk-in
T00050,2026-03-23,P030,1,1.7,1.7,STF003,Walk-in
T00051,2026-03-23,P047,1,9.2,9.2,STF002,Prescription
T00052,2026-03-23,P016,3,3.6,10.8,STF003,Walk-in
T00053,2026-03-23,P047,1,9.2,9.2,STF003,Prescription
T00054,2026-03-23,P011,1,3.2,3.2,STF002,Prescription
T00055,2026-03-23,P040,1,4.0,4.0,STF002,Walk-in
T00056,2026-03-23,P030,1,1.7,1.7,STF003,Prescription
T00057,2026-03-23,P007,1,6.5,6.5,STF005,Walk-in
T00058,2026-03-23,P017,1,2.6,2.6,STF004,Prescription
T00059,2026-03-23,P018,1,4.9,4.9,STF004,Prescription
T00060,2026-03-23,P011,2,3.2,6.4,STF004,Prescription
T00061,2026-03-23,P047,1,9.2,9.2,STF002,Prescription
T00062,2026-03-24,P041,1,6.5,6.5,STF002,Walk-in
T00063,2026-03-24,P036,1,3.4,3.4,STF001,Walk-in
T00064,2026-03-24,P040,2,4.0,8.0,STF003,Walk-in
T00065,2026-03-24,P011,1,3.2,3.2,STF004,Prescription
T00066,2026-03-24,P016,2,3.6,7.2,STF003,Insurance
T00067,2026-03-24,P010,1,6.0,6.0,STF001,Prescription
T00068,2026-03-24,P007,1,6.5,6.5,STF004,Walk-in
T00069,2026-03-24,P018,1,4.9,4.9,STF003,Prescription
T00070,2026-03-24,P016,3,3.6,10.8,STF002,Prescription
T00071,2026-03-24,P015,1,3.0,3.0,STF002,Walk-in
T00072,2026-03-24,P031,1,1.6,1.6,STF001,Walk-in
T00073,2026-03-24,P006,1,5.5,5.5,STF003,Walk-in
T00074,2026-03-24,P008,1,7.2,7.2,STF005,Walk-in
T00075,2026-03-24,P011,2,3.2,6.4,STF001,Prescription
T00076,2026-03-24,P010,1,6.0,6.0,STF004,Walk-in
T00077,2026-03-25,P048,1,12.0,12.0,STF001,Prescription
T00078,2026-03-25,P014,1,4.2,4.2,STF002,Prescription
T00079,2026-03-25,P022,1,3.9,3.9,STF005,Insurance
T00080,2026-03-25,P015,1,3.0,3.0,STF004,Prescription
T00081,2026-03-25,P017,1,2.6,2.6,STF002,Insurance
T00082,2026-03-25,P007,1,6.5,6.5,STF005,Prescription
T00083,2026-03-25,P048,1,12.0,12.0,STF005,Insurance
T00084,2026-03-25,P003,1,3.2,3.2,STF005,Prescription
T00085,2026-03-25,P009,1,4.8,4.8,STF001,Prescription
T00086,2026-03-25,P031,1,1.6,1.6,STF005,Prescription
T00087,2026-03-25,P004,2,3.8,7.6,STF002,Insurance
T00088,2026-03-25,P007,1,6.5,6.5,STF003,Walk-in
T00089,2026-03-26,P011,1,3.2,3.2,STF001,Prescription
T00090,2026-03-26,P022,1,3.9,3.9,STF005,Insurance
T00091,2026-03-26,P017,2,2.6,5.2,STF001,Prescription
T00092,2026-03-26,P004,1,3.8,3.8,STF005,Prescription
T00093,2026-03-26,P018,2,4.9,9.8,STF005,Prescription
T00094,2026-03-26,P023,1,2.0,2.0,STF004,Prescription
T00095,2026-03-26,P032,1,2.1,2.1,STF001,Walk-in
T00096,2026-03-26,P050,1,24.0,24.0,STF002,Prescription
T00097,2026-03-26,P009,1,4.8,4.8,STF004,Prescription
T00098,2026-03-26,P014,1,4.2,4.2,STF004,Prescription
T00099,2026-03-26,P037,2,0.45,0.9,STF002,Walk-in
T00100,2026-03-26,P012,1,2.9,2.9,STF003,Prescription
T00101,2026-03-26,P014,2,4.2,8.4,STF005,Insurance
T00102,2026-03-27,P002,1,5.0,5.0,STF003,Prescription
T00103,2026-03-27,P031,1,1.6,1.6,STF001,Insurance
T00104,2026-03-27,P040,2,4.0,8.0,STF003,Prescription
T00105,2026-03-27,P006,2,5.5,11.0,STF004,Walk-in
T00106,2026-03-27,P024,1,4.6,4.6,STF001,Prescription
T00107,2026-03-27,P037,4,0.45,1.8,STF001,Walk-in
T00108,2026-03-27,P011,3,3.2,9.6,STF004,Prescription
T00109,2026-03-27,P033,1,2.9,2.9,STF005,Walk-in
T00110,2026-03-27,P012,3,2.9,8.7,STF003,Prescription
T00111,2026-03-27,P029,1,3.5,3.5,STF002,Insurance
T00112,2026-03-27,P020,1,8.2,8.2,STF005,Prescription
T00113,2026-03-27,P032,1,2.1,2.1,STF003,Walk-in
T00114,2026-03-27,P021,1,3.2,3.2,STF005,Prescription
T00115,2026-03-27,P009,1,4.8,4.8,STF003,Walk-in
T00116,2026-03-27,P007,1,6.5,6.5,STF004,Insurance
T00117,2026-03-27,P016,1,3.6,3.6,STF004,Prescription
T00118,2026-03-27,P018,2,4.9,9.8,STF002,Prescription
T00119,2026-03-27,P035,1,3.5,3.5,STF004,Walk-in
T00120,2026-03-28,P018,1,4.9,4.9,STF003,Prescription
T00121,2026-03-28,P040,2,4.0,8.0,STF001,Prescription
T00122,2026-03-28,P023,1,2.0,2.0,STF002,Walk-in
T00123,2026-03-28,P037,6,0.45,2.7,STF003,Walk-in
T00124,2026-03-28,P008,1,7.2,7.2,STF005,Walk-in
T00125,2026-03-28,P030,1,1.7,1.7,STF003,Insurance
T00126,2026-03-28,P020,2,8.2,16.4,STF001,Prescription
T00127,2026-03-28,P005,2,2.8,5.6,STF002,Prescription
T00128,2026-03-28,P040,1,4.0,4.0,STF005,Walk-in
T00129,2026-03-28,P014,1,4.2,4.2,STF004,Insurance
T00130,2026-03-28,P012,2,2.9,5.8,STF004,Walk-in
T00131,2026-03-28,P015,3,3.0,9.0,STF005,Walk-in
T00132,2026-03-28,P010,1,6.0,6.0,STF004,Walk-in
T00133,2026-03-28,P031,1,1.6,1.6,STF002,Walk-in
T00134,2026-03-28,P044,1,2.9,2.9,STF003,Prescription
T00135,2026-03-28,P043,1,2.1,2.1,STF005,Walk-in
T00136,2026-03-28,P039,1,2.3,2.3,STF003,Walk-in
T00137,2026-03-28,P036,1,3.4,3.4,STF003,Walk-in
T00138,2026-03-28,P027,1,3.2,3.2,STF004,Walk-in
T00139,2026-03-28,P007,1,6.5,6.5,STF002,Walk-in
T00140,2026-03-28,P006,1,5.5,5.5,STF005,Walk-in
T00141,2026-03-29,P034,1,3.9,3.9,STF004,Walk-in
T00142,2026-03-29,P041,1,6.5,6.5,STF004,Insurance
T00143,2026-03-29,P015,1,3.0,3.0,STF002,Prescription
T00144,2026-03-29,P040,1,4.0,4.0,STF001,Walk-in
T00145,2026-03-29,P020,1,8.2,8.2,STF005,Prescription
T00146,2026-03-29,P012,1,2.9,2.9,STF004,Prescription
T00147,2026-03-29,P036,1,3.4,3.4,STF002,Prescription
T00148,2026-03-29,P006,1,5.5,5.5,STF001,Walk-in
T00149,2026-03-29,P045,1,7.8,7.8,STF005,Walk-in
T00150,2026-03-29,P039,3,2.3,6.9,STF005,Walk-in
T00151,2026-03-29,P042,1,2.4,2.4,STF002,Walk-in
T00152,2026-03-29,P006,1,5.5,5.5,STF004,Insurance
T00153,2026-03-29,P046,1,8.5,8.5,STF003,Prescription
T00154,2026-03-29,P016,2,3.6,7.2,STF001,Walk-in
T00155,2026-03-29,P039,1,2.3,2.3,STF004,Walk-in
T00156,2026-03-29,P012,3,2.9,8.7,STF001,Prescription
T00157,2026-03-29,P038,1,2.0,2.0,STF005,Insurance
T00158,2026-03-30,P003,3,3.2,9.6,STF001,Prescription
T00159,2026-03-30,P008,1,7.2,7.2,STF001,Walk-in
T00160,2026-03-30,P010,3,6.0,18.0,STF004,Prescription
T00161,2026-03-30,P015,1,3.0,3.0,STF001,Insurance
T00162,2026-03-30,P010,2,6.0,12.0,STF001,Walk-in
T00163,2026-03-30,P011,1,3.2,3.2,STF002,Prescription
T00164,2026-03-30,P009,1,4.8,4.8,STF004,Walk-in
T00165,2026-03-30,P022,1,3.9,3.9,STF001,Insurance
T00166,2026-03-30,P013,1,2.1,2.1,STF005,Prescription
T00167,2026-03-30,P042,1,2.4,2.4,STF003,Walk-in
T00168,2026-03-30,P018,1,4.9,4.9,STF001,Insurance
T00169,2026-03-30,P011,1,3.2,3.2,STF003,Walk-in
T00170,2026-03-30,P014,3,4.2,12.6,STF002,Insurance
T00171,2026-03-30,P046,1,8.5,8.5,STF002,Prescription
T00172,2026-03-30,P037,4,0.45,1.8,STF001,Prescription
T00173,2026-03-30,P047,1,9.2,9.2,STF004,Prescription
T00174,2026-03-30,P011,1,3.2,3.2,STF004,Prescription
T00175,2026-03-30,P034,1,3.9,3.9,STF002,Insurance
T00176,2026-03-30,P010,1,6.0,6.0,STF004,Prescription
T00177,2026-03-31,P021,1,3.2,3.2,STF002,Insurance
T00178,2026-03-31,P007,1,6.5,6.5,STF005,Walk-in
T00179,2026-03-31,P008,1,7.2,7.2,STF002,Walk-in
T00180,2026-03-31,P042,1,2.4,2.4,STF002,Walk-in
T00181,2026-03-31,P018,1,4.9,4.9,STF003,Prescription
T00182,2026-03-31,P001,1,12.0,12.0,STF005,Insurance
T00183,2026-03-31,P014,1,4.2,4.2,STF004,Prescription
T00184,2026-03-31,P015,3,3.0,9.0,STF005,Prescription
T00185,2026-03-31,P007,1,6.5,6.5,STF002,Walk-in
T00186,2026-03-31,P041,1,6.5,6.5,STF005,Walk-in
T00187,2026-03-31,P021,1,3.2,3.2,STF001,Prescription
T00188,2026-03-31,P041,1,6.5,6.5,STF002,Prescription
T00189,2026-03-31,P006,1,5.5,5.5,STF003,Insurance
T00190,2026-03-31,P023,1,2.0,2.0,STF001,Insurance
T00191,2026-03-31,P012,3,2.9,8.7,STF002,Prescription
T00192,2026-03-31,P027,2,3.2,6.4,STF004,Walk-in
T00193,2026-03-31,P016,1,3.6,3.6,STF004,Insurance
T00194,2026-04-01,P016,3,3.6,10.8,STF001,Prescription
T00195,2026-04-01,P033,1,2.9,2.9,STF003,Walk-in
T00196,2026-04-01,P006,1,5.5,5.5,STF001,Walk-in
T00197,2026-04-01,P036,1,3.4,3.4,STF004,Prescription
T00198,2026-04-01,P009,1,4.8,4.8,STF004,Prescription
T00199,2026-04-01,P014,1,4.2,4.2,STF002,Insurance
T00200,2026-04-01,P043,1,2.1,2.1,STF004,Walk-in
T00201,2026-04-01,P018,1,4.9,4.9,STF004,Prescription
T00202,2026-04-01,P026,1,2.2,2.2,STF004,Walk-in
T00203,2026-04-01,P010,1,6.0,6.0,STF001,Walk-in
T00204,2026-04-01,P050,1,24.0,24.0,STF002,Prescription
T00205,2026-04-01,P030,2,1.7,3.4,STF003,Insurance
T00206,2026-04-01,P030,1,1.7,1.7,STF005,Walk-in
T00207,2026-04-01,P008,1,7.2,7.2,STF003,Prescription
T00208,2026-04-01,P014,3,4.2,12.6,STF005,Prescription
T00209,2026-04-01,P032,1,2.1,2.1,STF001,Insurance
T00210,2026-04-01,P018,1,4.9,4.9,STF004,Prescription
T00211,2026-04-02,P050,1,24.0,24.0,STF003,Prescription
T00212,2026-04-02,P044,1,2.9,2.9,STF004,Insurance
T00213,2026-04-02,P021,1,3.2,3.2,STF004,Prescription
T00214,2026-04-02,P001,1,12.0,12.0,STF003,Walk-in
T00215,2026-04-02,P011,2,3.2,6.4,STF005,Insurance
T00216,2026-04-02,P001,1,12.0,12.0,STF004,Walk-in
T00217,2026-04-02,P020,1,8.2,8.2,STF001,Insurance
T00218,2026-04-02,P020,1,8.2,8.2,STF002,Prescription
T00219,2026-04-02,P019,1,7.8,7.8,STF001,Prescription
T00220,2026-04-02,P026,1,2.2,2.2,STF002,Walk-in
T00221,2026-04-02,P027,3,3.2,9.6,STF001,Insurance
T00222,2026-04-02,P012,1,2.9,2.9,STF001,Prescription
T00223,2026-04-02,P038,1,2.0,2.0,STF004,Insurance
T00224,2026-04-02,P009,1,4.8,4.8,STF004,Walk-in
T00225,2026-04-02,P015,1,3.0,3.0,STF005,Insurance
T00226,2026-04-02,P007,2,6.5,13.0,STF001,Prescription
T00227,2026-04-02,P011,2,3.2,6.4,STF003,Prescription
T00228,2026-04-02,P027,1,3.2,3.2,STF003,Walk-in
T00229,2026-04-02,P014,1,4.2,4.2,STF002,Prescription
T00230,2026-04-03,P033,1,2.9,2.9,STF005,Walk-in
T00231,2026-04-03,P001,1,12.0,12.0,STF003,Prescription
T00232,2026-04-03,P004,3,3.8,11.4,STF002,Prescription
T00233,2026-04-03,P044,1,2.9,2.9,STF001,Prescription
T00234,2026-04-03,P011,2,3.2,6.4,STF001,Walk-in
T00235,2026-04-03,P039,1,2.3,2.3,STF002,Insurance
