product_id,generic_name,drug_class,indications,contraindications,common_side_effects,adult_dose,pediatric_dose,prescription_required,controlled_substance
P001,Amoxicillin,Aminopenicillin antibiotic,"Respiratory tract infections, otitis media, dental infections","Penicillin allergy, severe beta-lactam hypersensitivity","Rash, diarrhea, nausea",500 mg every 8 hours,25-50 mg/kg/day in divided doses,Yes,No
P002,Azithromycin,Macrolide antibiotic,"Upper/lower respiratory infections, STIs","Macrolide allergy, QT prolongation history","Nausea, abdominal pain, diarrhea",500 mg once daily for 3 days,10 mg/kg on day 1 then 5 mg/kg daily,Yes,No
P003,Ceftriaxone,Third-generation cephalosporin,"Severe bacterial infections, pneumonia, sepsis","Cephalosporin allergy, neonatal hyperbilirubinemia","Injection-site pain, diarrhea, rash",1-2 g IM/IV once daily,50-100 mg/kg/day,Yes,No
P004,Ciprofloxacin,Fluoroquinolone antibiotic,"UTIs, typhoid, certain GI infections","Tendon disorders with quinolones, pregnancy (use with caution)","Nausea, dizziness, tendon pain",500 mg every 12 hours,10-15 mg/kg every 12 hours if specialist advised,Yes,No
P005,Co-trimoxazole,Sulfonamide antibiotic,"UTIs, skin infections, PCP prophylaxis","Sulfonamide allergy, severe liver disease, G6PD deficiency","Rash, nausea, photosensitivity",960 mg every 12 hours,4-6 mg/kg trimethoprim component twice daily,Yes,No
P006,Paracetamol,Non-opioid analgesic/antipyretic,"Fever, mild to moderate pain","Severe liver disease, overdose risk","Nausea, rash, hepatotoxicity in overdose",1 g every 6-8 hours as needed,10-15 mg/kg every 6 hours,No,No
P007,Ibuprofen,NSAID,"Pain, fever, inflammation","Peptic ulcer disease, renal impairment, NSAID allergy","Dyspepsia, nausea, fluid retention",400 mg every 8 hours with food,5-10 mg/kg every 8 hours,No,No
P008,Diclofenac,NSAID,"Musculoskeletal pain, arthritis","Peptic ulcer disease, severe renal impairment, NSAID allergy","Epigastric pain, nausea, edema",50 mg 2-3 times daily,1-3 mg/kg/day in divided doses,Yes,No
P009,Tramadol,Opioid analgesic,Moderate to severe pain,"MAOI use, seizure disorder, severe respiratory depression","Dizziness, nausea, sedation",50-100 mg every 6 hours,Use only if specialist advised; not routine,Yes,Yes
P010,Codeine/Paracetamol,Opioid combination analgesic,Moderate pain not controlled by simple analgesics,"Respiratory depression, children after tonsillectomy, opioid allergy","Constipation, drowsiness, nausea",1-2 tablets every 6-8 hours,Not recommended for young children,Yes,Yes
